Epoch: 364/500, Duration: 1.264s, ACC: 0.8100, Train Loss: 0.7645, Test Loss:0.7522
Epoch: 365/500, Duration: 1.265s, ACC: 0.8118, Train Loss: 0.7637, Test Loss:0.7454
Epoch: 366/500, Duration: 1.258s, ACC: 0.8114, Train Loss: 0.7620, Test Loss:0.7464
Epoch: 367/500, Duration: 1.229s, ACC: 0.8109, Train Loss: 0.7636, Test Loss:0.7490
Epoch: 368/500, Duration: 1.229s, ACC: 0.8126, Train Loss: 0.7613, Test Loss:0.7407
Epoch: 369/500, Duration: 1.230s, ACC: 0.8096, Train Loss: 0.7581, Test Loss:0.7559
Epoch: 370/500, Duration: 1.240s, ACC: 0.8105, Train Loss: 0.7608, Test Loss:0.7525
Epoch: 371/500, Duration: 1.257s, ACC: 0.8102, Train Loss: 0.7624, Test Loss:0.7554
Epoch: 372/500, Duration: 1.263s, ACC: 0.8111, Train Loss: 0.7601, Test Loss:0.7509
Epoch: 373/500, Duration: 1.262s, ACC: 0.8118, Train Loss: 0.7577, Test Loss:0.7452
Epoch: 374/500, Duration: 1.233s, ACC: 0.8121, Train Loss: 0.7588, Test Loss:0.7444
Epoch: 375/500, Duration: 1.230s, ACC: 0.8121, Train Loss: 0.7579, Test Loss:0.7434
Epoch: 376/500, Duration: 1.232s, ACC: 0.8109, Train Loss: 0.7538, Test Loss:0.7471
Epoch: 377/500, Duration: 1.232s, ACC: 0.8109, Train Loss: 0.7568, Test Loss:0.7505
Epoch: 378/500, Duration: 1.264s, ACC: 0.8123, Train Loss: 0.7526, Test Loss:0.7426
Epoch: 379/500, Duration: 1.258s, ACC: 0.8121, Train Loss: 0.7556, Test Loss:0.7445
Epoch: 380/500, Duration: 1.263s, ACC: 0.8112, Train Loss: 0.7568, Test Loss:0.7490
Epoch: 381/500, Duration: 1.249s, ACC: 0.8127, Train Loss: 0.7552, Test Loss:0.7437
Epoch: 382/500, Duration: 1.232s, ACC: 0.8114, Train Loss: 0.7515, Test Loss:0.7464
Epoch: 383/500, Duration: 1.236s, ACC: 0.8126, Train Loss: 0.7531, Test Loss:0.7404
Epoch: 384/500, Duration: 1.231s, ACC: 0.8129, Train Loss: 0.7536, Test Loss:0.7391
Epoch: 385/500, Duration: 1.257s, ACC: 0.8134, Train Loss: 0.7536, Test Loss:0.7390
Epoch: 386/500, Duration: 1.257s, ACC: 0.8126, Train Loss: 0.7516, Test Loss:0.7398
Epoch: 387/500, Duration: 1.258s, ACC: 0.8117, Train Loss: 0.7521, Test Loss:0.7460
Epoch: 388/500, Duration: 1.259s, ACC: 0.8128, Train Loss: 0.7539, Test Loss:0.7417
Epoch: 389/500, Duration: 1.233s, ACC: 0.8133, Train Loss: 0.7493, Test Loss:0.7387
Epoch: 390/500, Duration: 1.232s, ACC: 0.8136, Train Loss: 0.7488, Test Loss:0.7388
Epoch: 391/500, Duration: 1.232s, ACC: 0.8132, Train Loss: 0.7514, Test Loss:0.7398
Epoch: 392/500, Duration: 1.243s, ACC: 0.8120, Train Loss: 0.7491, Test Loss:0.7476
Epoch: 393/500, Duration: 1.264s, ACC: 0.8134, Train Loss: 0.7466, Test Loss:0.7407
Epoch: 394/500, Duration: 1.262s, ACC: 0.8131, Train Loss: 0.7491, Test Loss:0.7416
